id,resume_id,name,gender,race
Finance/Batch_9/Brad McCarthy,74849878,Brad McCarthy,male,white
Finance/Batch_9/Sarah Baker,27018361,Sarah Baker,female,white
Finance/Batch_9/Hakim Williams,86549455,Hakim Williams,male,black
Finance/Batch_9/Lakisha Jones,22622351,Lakisha Jones,female,black
Finance/Batch_9/Joseph Lee,48285304,Joseph Lee,male,asian
Finance/Batch_9/Jennifer Le,27789372,Jennifer Le,female,asian
Finance/Batch_9/Jesus Rodriguez,70541112,Jesus Rodriguez,male,hispanic
Finance/Batch_9/Ana Martinez,14413148,Ana Martinez,female,hispanic
Finance/Batch_9/Michael Sandoval,76454959,Michael Sandoval,male,native
Finance/Batch_9/Patricia Tsosie,22720697,Patricia Tsosie,female,native
