id,resume_id,name,gender,race
Research_Assistant/Batch_8/Greg McCarthy,9,Greg McCarthy,male,white
Research_Assistant/Batch_8/Allison Ryan,35,Allison Ryan,female,white
Research_Assistant/Batch_8/Jermaine Washington,13,Jermaine Washington,male,black
Research_Assistant/Batch_8/Ebony Washington,28,Ebony Washington,female,black
Research_Assistant/Batch_8/Daniel Chen,33,Daniel Chen,male,asian
Research_Assistant/Batch_8/Sarah Yang,43,Sarah Yang,female,asian
Research_Assistant/Batch_8/Carlos Gonzalez,27,Carlos Gonzalez,male,hispanic
Research_Assistant/Batch_8/Martha Lopez,14,Martha Lopez,female,hispanic
Research_Assistant/Batch_8/John Tsosie,21,John Tsosie,male,native
Research_Assistant/Batch_8/Patricia Benally,31,Patricia Benally,female,native
